平原上的摩西,"
        
  
  双雪涛 / 百花文艺出版社 / 2016-6 / 39.50元

      ",8.4
额尔古纳河右岸,"
        
  
  迟子建 / 北京十月文艺出版社 / 2005-12-1 / 29.00元

      ",9.0
简爱（英文全本）,"
        
  
  [英] 夏洛蒂·勃朗特 / 世界图书出版公司 / 2003-11 / 18.00元

      ",8.5
纽约客,"
        
  
  白先勇 / 广西师范大学出版社 / 2010.10 / 32.00元

      ",8.6
生活在别处,"
        
  
  [捷克] 米兰·昆德拉 / 袁筱一 / 上海译文出版社 / 2004-5 / 25.00元

      ",8.4
此间的少年,"
        
  
  江南 / 华文出版社 / 2004-1 / 25.00元

      ",8.4
小径分岔的花园,"
        
  
  [阿根廷] 博尔赫斯 / 王永年 / 上海译文出版社 / 2015-7 / 23.00

      ",8.9
不畅销小说写作指南,"
        
  
  大头马 / 浦睿文化?湖南文艺出版社 / 2017-7 / 42.00元

      ",7.3
所有我们看不见的光,"
        
  
  [美] 安东尼·多尔 / 高环宇 / 中信出版社 / 2015-8 / 42.00元

      ",8.9
长恨歌,"
        
  
  王安忆 / 南海出版公司 / 2003-8 / 22.00元

      ",8.2
时间旅行者的妻子,"
        
  
  [美] 奥德丽·尼芬格 / 夏金、安璘 / 人民文学出版社 / 2007-4 / 29.90元

      ",8.1
尘埃落定,"
        
  
  阿来 / 人民文学出版社 / 1998-3-1 / 22.0

      ",8.4
金锁记,"
        
  
  张爱玲 / 哈尔滨出版社 / 2005-6 / 13.5元

      ",8.5
屡次想起的人,"
        
  
  沈大成 / 上海文艺出版社 / 2017-6 / 36.00

      ",8.3
逃离,"
        
  
  艾丽丝·门罗 / 李文俊 / 北京十月文艺出版社 / 2009年7月 / 28.00元

      ",8.1
麦田里的守望者,"
        
  
  [美国] J. D. 塞林格 / 施咸荣 / 译林出版社 / 1997-2 / 7.80元

      ",7.9
苍老的指甲和宵遁的猫:冉正万选集,"
        
  
  冉正万 / 新民说 | 广西师范大学出版社 / 2017-5 / 29.80元

      ",8.3
呼啸山庄,"
        
  
  （英）勃朗特、张玲、张扬 / 张扬、张玲 / 人民文学出版社 / 1999-01-01 / 27.30元

      ",8.4
动物庄园:动物庄园,"
        
  
  乔治?奥威尔 (George Orwell) / 隗静秋 / 上海三联书店 / 2009-6-1 / 16.00元

      ",9.3
24个比利,"
        
  
  [美] 丹尼尔·凯斯 / 邢世阳 / 湖岸出版/外语教学与研究出版社 / 2015-6-30 / 39.00元

      ",8.1
布鲁克林有棵树,"
        
  
  贝蒂·史密斯（Betty Smith) / 方柏林 / 译林出版社 / 2009-7 / 28.00元

      ",8.7
木麻黄树,"
        
  
  [英] 毛姆 / 黄福海 / 上海译文出版社 / 2012-5 / 30.00元

      ",8.6
罗曼蒂克消亡史,"
        
  
  程耳 / 江西人民出版社 / 2016-12-15 / 36元

      ",7.4
红拂夜奔,"
        
  
  王小波 / 江苏文艺出版社 / 2005-1 / 28.00元

      ",8.6
小说药丸,"
        
  
  [英] 埃拉·伯绍德、[英] 苏珊·埃尔德金 / 汪芃 / 上海人民出版社 / 2016-10 / 59.00元

      ",8.0
地下铁道,"
        
  
  [美] 科尔森·怀特黑德 / 康慨 / 世纪文景/上海人民出版社 / 2017-3 / 39.80

      ",7.4
小说机杼,"
        
  
  [英] 詹姆斯·伍德 / 黄远帆 / 河南大学出版社 / 2015-8-1 / 28.00元

      ",9.0
遥远的救世主,"
        
  
  豆豆 / 作家出版社 / 2005-05-01 / 28.00元

      ",8.7
怒,"
        
  
  [日] 吉田修一 / 岳远坤 / 世纪文景/上海人民出版社 / 2016-7-31 / 42.00元

      ",8.4
狼图腾,"
        
  
  姜戎 / 长江文艺出版社 / 2004-4 / 32.00元

      ",8.3
自由,"
        
  
  [美] 乔纳森·弗兰岑 / 缪梅 / 南海出版公司 / 2012-5 / 49.50元

      ",8.4
遥远的星辰,"
        
  
  [智利] 罗贝托·波拉尼奥 / 张慧玲 / 上海人民出版社 / 2016-1 / 32.00元

      ",8.4
质数的孤独,"
        
  
  [意] 保罗·乔尔达诺 / 文铮 / 上海译文出版社 / 2011-3 / 26.00元

      ",8.0
所谓好玩的事，我再也不做了,"
        
  
  [美] 大卫·福斯特·华莱士 / 林晓筱 / 湖南文艺出版社 / 2017-1 / 52.00元

      ",7.7
